企业代号,quater,进项合计,订单个数,进项负发票个数,供货商个数,销项合计,销项订单个数,销项负发票个数,客户个数,净营业收入,企业名称,信誉评级,是否违约
E102,2017Q3,287202.68,49,0,19,38250.3,5,0,3,-248952.38,***大药房有限责任公司,4,1
E102,2018Q1,297607.89999999997,42,1,18,30545.1,3,0,1,-267062.8,***大药房有限责任公司,4,1
E102,2018Q2,378782.51,82,0,29,24305.3,11,0,10,-354477.21,***大药房有限责任公司,4,1
E102,2018Q3,277647.36000000004,53,1,22,31801.1,8,0,6,-245846.26000000004,***大药房有限责任公司,4,1
E102,2018Q4,295084.5,63,1,32,75349.3,40,0,36,-219735.2,***大药房有限责任公司,4,1
E102,2019Q1,316195.63000000006,62,0,23,46008.6,27,0,22,-270187.0300000001,***大药房有限责任公司,4,1
E102,2019Q2,216653.26000000007,59,0,25,33354.7,12,0,10,-183298.56000000006,***大药房有限责任公司,4,1
E102,2019Q3,300745.58,79,1,28,55532.4,18,0,15,-245213.18000000002,***大药房有限责任公司,4,1
E102,2019Q4,305653.48999999993,69,1,28,39879.0,4,0,1,-265774.48999999993,***大药房有限责任公司,4,1
E102,2020Q1,125820.85999999997,24,0,14,3005.1,6,0,6,-122815.75999999997,***大药房有限责任公司,4,1
E103,2018Q1,22319.0,20,0,13,466300.0,6,0,2,443981.0,***科技有限公司,4,1
E103,2018Q2,7003.0,10,0,7,21200.0,1,0,1,14197.0,***科技有限公司,4,1
E103,2018Q3,38713.0,7,0,6,60158.67,1,0,1,21445.67,***科技有限公司,4,1
E103,2018Q4,58369.450000000004,11,0,6,91030.0,6,0,2,32660.549999999996,***科技有限公司,4,1
E103,2019Q1,48689.0,7,0,6,15895.15,6,2,3,-32793.85,***科技有限公司,4,1
E103,2019Q2,39674.51,39,0,9,47743.990000000005,2,0,2,8069.480000000003,***科技有限公司,4,1
E103,2019Q3,114227.90999999999,27,0,17,32724.71,5,0,4,-81503.19999999998,***科技有限公司,4,1
E103,2019Q4,314898.7,27,0,16,1087399.25,27,0,10,772500.55,***科技有限公司,4,1
E104,2019Q2,280.0,1,0,1,70200.0,3,0,2,69920.0,***管理咨询有限责任公司,3,0
E105,2017Q4,3960.0,2,0,2,231082.93000000002,31,1,20,227122.93000000002,***建材经营部,3,0
E105,2018Q1,3360.0,1,0,1,142704.0,16,0,16,139344.0,***建材经营部,3,0
E105,2018Q2,280.0,1,0,1,109481.4,11,0,11,109201.4,***建材经营部,3,0
E105,2019Q1,600.0,1,0,1,93261.94,13,0,13,92661.94,***建材经营部,3,0
E105,2019Q2,280.0,1,0,1,19772.0,8,2,8,19492.0,***建材经营部,3,0
E106,2017Q3,216.0,1,0,1,41880.0,13,0,12,41664.0,***财务管理有限公司,2,0
E106,2017Q4,4500.0,1,0,1,66300.0,11,0,6,61800.0,***财务管理有限公司,2,0
E106,2018Q1,457.0,3,0,3,26260.0,7,0,6,25803.0,***财务管理有限公司,2,0
E106,2018Q2,11683.7,6,0,5,38170.0,12,0,10,26486.3,***财务管理有限公司,2,0
E106,2018Q3,28565.8,7,0,6,92930.0,24,0,21,64364.2,***财务管理有限公司,2,0
E106,2018Q4,4235.0,8,0,7,17300.0,4,0,4,13065.0,***财务管理有限公司,2,0
E106,2019Q1,1072.0,2,0,2,66600.0,15,2,9,65528.0,***财务管理有限公司,2,0
E106,2019Q2,557.0,4,0,1,36025.0,12,0,12,35468.0,***财务管理有限公司,2,0
E106,2019Q3,794.6,1,0,1,43900.0,7,0,6,43105.4,***财务管理有限公司,2,0
E106,2019Q4,380.0,2,0,2,124812.86,24,2,24,124432.86,***财务管理有限公司,2,0
E107,2018Q1,180.0,1,0,1,21750.0,3,0,1,21570.0,***科技有限公司,4,1
E107,2018Q2,71232.0,1,0,1,21750.0,3,0,1,-49482.0,***科技有限公司,4,1
E107,2018Q4,280.0,1,0,1,21750.0,3,0,1,21470.0,***科技有限公司,4,1
E107,2019Q1,20299.0,2,0,2,21750.0,3,0,1,1451.0,***科技有限公司,4,1
E107,2019Q4,280.0,1,0,1,600000.0,6,0,1,599720.0,***科技有限公司,4,1
E108,2018Q3,8716.55,34,0,18,43900.0,7,0,4,35183.45,***商贸有限公司,4,1
E108,2018Q4,11200.18,31,0,18,88462.26000000001,10,0,2,77262.08000000002,***商贸有限公司,4,1
E108,2019Q2,10939.34,34,1,15,39053.0,12,1,11,28113.66,***商贸有限公司,4,1
E108,2019Q4,8761.919999999998,29,0,15,25800.0,4,0,4,17038.08,***商贸有限公司,4,1
E109,2018Q2,280.0,1,0,1,15400.0,2,0,1,15120.0,***服饰有限公司,4,1
E109,2019Q1,160.0,1,0,1,72040.0,3,0,3,71880.0,***服饰有限公司,4,1
E109,2019Q2,248.0,1,0,1,1250.0,1,0,1,1002.0,***服饰有限公司,4,1
E109,2019Q4,1405.0,4,0,3,239552.0,9,0,7,238147.0,***服饰有限公司,4,1
E109,2020Q1,1278.0,3,0,3,80600.0,1,0,1,79322.0,***服饰有限公司,4,1
E11,2018Q1,4207604.36,137,0,52,3771956.94,40,0,1,-435647.4200000004,***建设工程有限公司,3,0
E11,2018Q2,6387039.43,129,1,50,10386380.06,106,0,1,3999340.630000001,***建设工程有限公司,3,0
E11,2018Q3,7341615.180000002,220,1,82,13106057.34,134,1,1,5764442.159999998,***建设工程有限公司,3,0
E11,2018Q4,12136975.07,282,2,108,17786878.050000004,182,0,3,5649902.980000004,***建设工程有限公司,3,0
E11,2019Q1,18609912.810000006,354,1,103,27568278.6,280,0,4,8958365.789999995,***建设工程有限公司,3,0
E11,2019Q2,28530756.669999994,356,1,83,38203729.7,251,0,3,9672973.030000009,***建设工程有限公司,3,0
E11,2019Q3,33807172.13999999,494,2,104,28441481.74,34,0,3,-5365690.399999995,***建设工程有限公司,3,0
E11,2019Q4,28466876.550000004,565,13,132,20132282.7,21,0,3,-8334593.850000005,***建设工程有限公司,3,0
E11,2020Q1,4686063.1,149,2,70,3150000.0,3,0,2,-1536063.0999999996,***建设工程有限公司,3,0
E110,2017Q4,480.0,1,0,1,28726.1,5,0,3,28246.1,***通讯器材经营部,3,0
E110,2018Q4,280.0,1,0,1,60441.0,15,0,10,60161.0,***通讯器材经营部,3,0
E110,2019Q4,280.0,1,0,1,8458.0,5,0,4,8178.0,***通讯器材经营部,3,0
E111,2017Q3,3713.2200000000003,5,0,4,60103.599999999984,18,3,6,56390.37999999998,***科技有限公司,4,1
E111,2017Q4,12003.83,6,0,4,51679.79999999999,18,5,5,39675.96999999999,***科技有限公司,4,1
E111,2018Q1,15877.130000000001,11,0,8,50221.4,20,2,4,34344.270000000004,***科技有限公司,4,1
E111,2018Q2,91083.62,29,0,23,294408.0,14,0,4,203324.38,***科技有限公司,4,1
E111,2018Q3,217793.61999999994,31,0,19,132296.4,15,0,4,-85497.21999999994,***科技有限公司,4,1
E111,2018Q4,-103391.48999999999,28,4,19,101865.3,10,0,4,205256.78999999998,***科技有限公司,4,1
E111,2019Q1,38111.5,31,0,23,-142712.49999999997,46,15,5,-180823.99999999997,***科技有限公司,4,1
E111,2019Q2,47370.420000000006,41,0,25,110884.79999999999,19,1,4,63514.37999999998,***科技有限公司,4,1
E111,2019Q3,73949.43000000001,28,0,19,16003.400000000009,17,2,7,-57946.03,***科技有限公司,4,1
E111,2019Q4,115682.59000000001,40,0,23,126952.0,23,0,4,11269.409999999989,***科技有限公司,4,1
E111,2020Q1,17080.14,14,0,10,77439.6,4,0,3,60359.46000000001,***科技有限公司,4,1
E112,2017Q2,127786.17,13,0,10,38251.34,1,0,1,-89534.83,***机械设备有限公司,4,1
E112,2017Q3,101659.88,15,1,9,196929.85,2,0,1,95269.97,***机械设备有限公司,4,1
E112,2017Q4,255966.52,23,0,11,432600.94999999995,7,1,1,176634.42999999996,***机械设备有限公司,4,1
E112,2018Q1,89534.8,9,0,4,77151.67,1,0,1,-12383.130000000005,***机械设备有限公司,4,1
E112,2018Q2,81980.0,12,1,7,275195.4,3,0,1,193215.40000000002,***机械设备有限公司,4,1
E112,2018Q4,35577.0,4,0,3,74673.79,2,0,2,39096.78999999999,***机械设备有限公司,4,1
E113,2018Q1,165698.12000000002,20,0,12,168000.0,15,0,1,2301.8799999999756,***美居科技有限公司,4,1
E113,2018Q3,55399.369999999995,9,0,7,100000.0,12,0,1,44600.630000000005,***美居科技有限公司,4,1
E113,2019Q1,20000.0,1,0,1,28000.0,3,0,1,8000.0,***美居科技有限公司,4,1
E113,2019Q3,25320.0,1,0,1,33500.0,1,0,1,8180.0,***美居科技有限公司,4,1
E114,2017Q3,50728.0,2,0,2,18549.0,11,0,6,-32179.0,***食品有限责任公司,4,1
E114,2017Q4,10468.0,5,0,5,26273.8,11,1,6,15805.8,***食品有限责任公司,4,1
E114,2018Q1,153073.0,5,0,3,23902.0,10,0,4,-129171.0,***食品有限责任公司,4,1
E114,2018Q2,16976.0,2,0,2,5864.0,2,0,2,-11112.0,***食品有限责任公司,4,1
E114,2018Q3,18492.0,11,0,5,4000.0,1,0,1,-14492.0,***食品有限责任公司,4,1
E114,2018Q4,19727.0,7,0,4,15352.99,3,0,2,-4374.01,***食品有限责任公司,4,1
E114,2019Q1,4702.0,5,0,2,10520.0,2,0,2,5818.0,***食品有限责任公司,4,1
E114,2019Q2,84300.0,12,0,3,10458.0,2,0,2,-73842.0,***食品有限责任公司,4,1
E114,2019Q3,64900.0,7,0,3,6394.0,1,0,1,-58506.0,***食品有限责任公司,4,1
E114,2019Q4,220635.0,11,0,6,8951.85,3,0,3,-211683.15,***食品有限责任公司,4,1
E114,2020Q1,316.0,2,0,2,24792.0,4,0,3,24476.0,***食品有限责任公司,4,1
E116,2017Q3,204.0,1,0,1,23447.120000000003,8,0,6,23243.120000000003,***门窗有限公司,4,1
E116,2017Q4,280.0,1,0,1,32856.0,7,0,4,32576.0,***门窗有限公司,4,1
E116,2018Q1,469.0,1,0,1,8640.0,1,0,1,8171.0,***门窗有限公司,4,1
E116,2018Q4,1177.0,4,0,4,24600.0,4,0,1,23423.0,***门窗有限公司,4,1
E117,2018Q1,3800.0,1,0,1,219232.0,4,0,1,215432.0,***人力资源管理咨询有限公司,4,1
E117,2018Q2,1200.0,1,0,1,75504.0,3,0,1,74304.0,***人力资源管理咨询有限公司,4,1
E117,2018Q4,1790.0,1,0,1,30000.0,1,0,1,28210.0,***人力资源管理咨询有限公司,4,1
E118,2017Q3,1200.0,1,0,1,9080.0,4,0,4,7880.0,***体育用品有限公司,4,1
E118,2018Q3,280.0,1,0,1,16264.0,12,0,10,15984.0,***体育用品有限公司,4,1
E118,2019Q1,14419.0,4,0,3,14717.0,3,0,2,298.0,***体育用品有限公司,4,1
E118,2019Q2,38520.0,7,0,3,3988.8199999999997,10,0,9,-34531.18,***体育用品有限公司,4,1
E118,2019Q3,4866.79,6,0,2,2892.0,3,0,3,-1974.79,***体育用品有限公司,4,1
E118,2019Q4,5027.0,5,0,1,962.0,3,0,2,-4065.0,***体育用品有限公司,4,1
E119,2017Q3,12912.4,13,0,5,7200.0,5,0,4,-5712.4,***药房,4,1
E119,2018Q2,27578.739999999998,28,0,6,540.0,1,0,1,-27038.739999999998,***药房,4,1
E119,2018Q3,12835.48,28,0,6,4680.0,2,0,2,-8155.48,***药房,4,1
E119,2018Q4,31881.36000000001,51,0,6,2460.0,1,0,1,-29421.36000000001,***药房,4,1
E119,2019Q2,26240.25,21,0,8,2462.0,1,0,1,-23778.25,***药房,4,1
E119,2019Q3,49554.71000000001,36,1,8,19400.0,8,0,8,-30154.710000000006,***药房,4,1
E12,2018Q1,12543146.329999998,130,1,67,65064070.0,67,1,2,52520923.67,***建筑劳务有限公司,2,0
E12,2018Q2,8329904.42,173,3,77,19328929.6,23,0,2,10999025.180000002,***建筑劳务有限公司,2,0
E12,2018Q3,11980763.72,104,2,43,21695910.58,24,0,2,9715146.859999998,***建筑劳务有限公司,2,0
E12,2018Q4,24134703.8,136,0,55,29000000.0,30,0,1,4865296.199999999,***建筑劳务有限公司,2,0
E12,2019Q1,11081367.690000001,179,0,77,48520709.07,52,0,2,37439341.379999995,***建筑劳务有限公司,2,0
E12,2019Q3,10402041.12,295,4,109,22067001.259999998,25,0,4,11664960.139999999,***建筑劳务有限公司,2,0
E12,2019Q4,2100086.2199999997,259,2,100,5494800.0,8,0,2,3394713.7800000003,***建筑劳务有限公司,2,0
E12,2020Q1,4275315.76,72,0,44,31831600.0,34,0,4,27556284.240000002,***建筑劳务有限公司,2,0
E120,2018Q2,12130.0,8,0,6,38000.0,1,0,1,25870.0,***陈列广告有限公司,4,1
E120,2019Q1,2625.9,6,0,5,2400.0,1,0,1,-225.9000000000001,***陈列广告有限公司,4,1
E120,2019Q2,628.0,3,0,3,12250.0,1,0,1,11622.0,***陈列广告有限公司,4,1
E120,2019Q4,976.94,5,0,4,64004.0,4,0,3,63027.06,***陈列广告有限公司,4,1
E121,2017Q1,214012.38,4,0,2,9529.060000000001,14,0,13,-204483.32,***药业连锁有限公司***药店,4,1
E121,2017Q2,214541.96,6,0,4,9449.79,12,0,12,-205092.16999999998,***药业连锁有限公司***药店,4,1
E121,2017Q3,186292.57,7,0,4,21277.6,26,0,20,-165014.97,***药业连锁有限公司***药店,4,1
E121,2017Q4,199175.4,6,0,4,23083.03,31,0,23,-176092.37,***药业连锁有限公司***药店,4,1
E121,2018Q1,171272.59,5,0,2,10144.0,14,0,14,-161128.59,***药业连锁有限公司***药店,4,1
E121,2018Q2,166468.11,10,0,6,8550.0,14,0,11,-157918.11,***药业连锁有限公司***药店,4,1
E121,2018Q3,45899.58,4,0,3,18139.26,32,0,24,-27760.320000000003,***药业连锁有限公司***药店,4,1
E121,2018Q4,54457.29,5,0,3,14114.81,20,0,16,-40342.48,***药业连锁有限公司***药店,4,1
E122,2017Q2,396.0,1,0,1,24964.1,17,0,12,24568.1,***商贸有限责任公司,4,1
E122,2017Q3,7146.0,9,0,6,3690.88,16,1,13,-3455.12,***商贸有限责任公司,4,1
E122,2017Q4,10385.0,3,0,1,5637.0,20,7,15,-4748.0,***商贸有限责任公司,4,1
E122,2018Q1,12446.0,12,0,9,6260.43,9,0,9,-6185.57,***商贸有限责任公司,4,1
E122,2018Q2,2967.0,7,0,6,243.0,1,0,1,-2724.0,***商贸有限责任公司,4,1
E122,2018Q3,452.0,4,0,3,4296.0,1,0,1,3844.0,***商贸有限责任公司,4,1
E122,2019Q1,19444.26,9,1,5,2863.42,10,0,10,-16580.839999999997,***商贸有限责任公司,4,1
E122,2019Q2,230.0,1,0,1,2144.42,8,0,6,1914.42,***商贸有限责任公司,4,1
E122,2020Q1,280.0,1,0,1,952.5699999999999,2,0,2,672.5699999999999,***商贸有限责任公司,4,1
E123,2017Q4,280.0,1,0,1,1430.0,1,0,1,1150.0,***创科技有限责任公司,4,1
E123,2019Q4,280.0,1,0,1,28912.5,5,0,2,28632.5,***创科技有限责任公司,4,1
E13,2017Q1,7896233.72,209,2,74,14572089.950000001,600,3,484,6675856.230000001,***汽车贸易有限公司,1,0
E13,2017Q2,8940536.74,260,1,86,24658868.21,616,4,484,15718331.47,***汽车贸易有限公司,1,0
E13,2017Q3,11712817.779999997,616,0,188,19572070.970000003,624,10,470,7859253.190000005,***汽车贸易有限公司,1,0
E13,2017Q4,10634544.319999997,623,2,132,13601912.669999996,613,6,449,2967368.3499999996,***汽车贸易有限公司,1,0
E13,2018Q1,7163787.990000001,922,0,150,15362487.280000001,573,0,450,8198699.29,***汽车贸易有限公司,1,0
E13,2018Q2,7540593.209999998,1248,8,166,9010897.72,524,7,384,1470304.5100000026,***汽车贸易有限公司,1,0
E13,2018Q3,7389315.059999998,1522,7,172,12198712.88,586,6,390,4809397.820000003,***汽车贸易有限公司,1,0
E13,2018Q4,9790314.729999997,1232,3,157,51358066.07,625,11,387,41567751.34,***汽车贸易有限公司,1,0
E13,2019Q1,8079627.069999999,1562,2,202,13800690.91,483,5,336,5721063.840000001,***汽车贸易有限公司,1,0
E13,2019Q2,10038143.490000006,1642,3,197,11974978.53,499,9,326,1936835.0399999935,***汽车贸易有限公司,1,0
E13,2019Q3,5137582.76,1366,4,173,11345309.049999999,459,4,291,6207726.289999999,***汽车贸易有限公司,1,0
E13,2019Q4,7107176.560000002,1438,3,153,44506145.8,509,8,274,37398969.239999995,***汽车贸易有限公司,1,0
E13,2020Q1,2197829.54,615,4,84,2015793.2799999998,97,0,76,-182036.26000000024,***汽车贸易有限公司,1,0
E14,2017Q1,4497831.94,249,5,107,15312426.0,182,1,133,10814594.059999999,个体经营E14,3,0
E14,2017Q2,4964535.160000001,261,7,96,13407949.0,210,0,153,8443413.84,个体经营E14,3,0
E14,2017Q3,6796909.859999999,398,9,162,20601463.0,246,4,168,13804553.14,个体经营E14,3,0
E14,2017Q4,24842233.46000001,561,5,191,29233867.5,302,3,198,4391634.039999992,个体经营E14,3,0
E14,2018Q1,7712395.729999999,525,17,191,17586774.47,204,1,152,9874378.74,个体经营E14,3,0
E14,2018Q2,8103316.430000004,695,18,229,18352056.47,276,12,179,10248740.039999995,个体经营E14,3,0
E14,2018Q3,6514295.27,549,12,185,17984133.02,266,2,178,11469837.75,个体经营E14,3,0
E14,2018Q4,26941485.089999992,715,4,221,30052185.84,345,5,225,3110700.7500000075,个体经营E14,3,0
E14,2019Q1,9669022.309999995,597,9,211,16963618.0,252,4,170,7294595.690000005,个体经营E14,3,0
E14,2019Q2,6503891.710000002,724,17,215,19401492.410000004,243,4,158,12897600.700000003,个体经营E14,3,0
E14,2019Q3,13727049.859999988,712,12,198,20849450.25,297,0,178,7122400.390000012,个体经营E14,3,0
E14,2019Q4,4830703.42,541,15,186,22015181.409999996,274,6,180,17184477.989999995,个体经营E14,3,0
E15,2017Q2,330.0,1,0,1,5358675.66,57,0,1,5358345.66,***劳务有限公司,1,0
E15,2017Q3,2500.0,1,0,1,15440770.499999998,161,0,2,15438270.499999998,***劳务有限公司,1,0
E15,2017Q4,2400.0,1,0,1,20858726.26,215,0,1,20856326.26,***劳务有限公司,1,0
E15,2018Q1,460.0,2,0,2,12929850.9,132,0,1,12929390.9,***劳务有限公司,1,0
E15,2018Q2,2366.0,2,0,2,21657590.18,222,0,2,21655224.18,***劳务有限公司,1,0
E15,2018Q3,45691.0,3,0,2,17475825.15,181,0,2,17430134.15,***劳务有限公司,1,0
E15,2018Q4,830349.0,12,0,7,31173373.909999996,319,0,2,30343024.909999996,***劳务有限公司,1,0
E15,2019Q1,1035691.0,11,0,5,15656180.44,159,0,2,14620489.44,***劳务有限公司,1,0
E15,2019Q2,1436216.4400000002,31,0,18,19015710.759999998,197,0,2,17579494.319999997,***劳务有限公司,1,0
E15,2019Q3,1445790.0,21,0,9,21312022.62,222,0,2,19866232.62,***劳务有限公司,1,0
E15,2019Q4,2151.0,7,0,3,6240680.63,64,0,2,6238529.63,***劳务有限公司,1,0
E16,2017Q2,7890.0,4,0,4,7499918.5,14,0,7,7492028.5,***建筑劳务有限公司,1,0
E16,2017Q3,2373.0,3,0,2,14415965.030000001,25,0,5,14413592.030000001,***建筑劳务有限公司,1,0
E16,2017Q4,14234.0,1,0,1,22782453.15,33,0,11,22768219.15,***建筑劳务有限公司,1,0
E16,2018Q1,320.0,1,0,1,11643802.43,19,0,7,11643482.43,***建筑劳务有限公司,1,0
E16,2018Q2,34359.14,22,0,12,20657769.02,29,0,7,20623409.88,***建筑劳务有限公司,1,0
E16,2018Q3,29269.35,36,0,14,7556491.87,23,0,9,7527222.5200000005,***建筑劳务有限公司,1,0
E16,2018Q4,25425.34,33,0,12,50135817.62,81,0,21,50110392.279999994,***建筑劳务有限公司,1,0
E16,2019Q1,25811.57,27,0,13,11657863.45,25,0,16,11632051.879999999,***建筑劳务有限公司,1,0
E16,2019Q2,85323.44,70,0,34,14995432.16,26,0,9,14910108.72,***建筑劳务有限公司,1,0
E16,2019Q3,42955.670000000006,56,1,25,9964378.040000001,26,0,12,9921422.370000001,***建筑劳务有限公司,1,0
E16,2019Q4,24786.91,36,0,19,16167428.74,43,0,18,16142641.83,***建筑劳务有限公司,1,0
E17,2016Q4,593472.53,30,1,16,3732298.4899999998,57,1,41,3138825.96,***消防工程有限公司,1,0
E17,2017Q1,1157737.57,39,0,18,4568782.33,24,0,16,3411044.76,***消防工程有限公司,1,0
E17,2017Q2,3469342.5,119,0,31,5779517.640000001,25,0,16,2310175.1400000006,***消防工程有限公司,1,0
E17,2017Q3,7732487.03,452,10,112,11394760.850000001,36,1,22,3662273.820000001,***消防工程有限公司,1,0
E17,2017Q4,9626364.639999999,469,1,143,9967749.780000001,50,4,30,341385.14000000246,***消防工程有限公司,1,0
E17,2018Q1,14813793.280000003,580,1,147,16207789.16,47,4,23,1393995.879999997,***消防工程有限公司,1,0
E17,2018Q2,18458969.129999995,758,9,222,9221530.35,24,0,17,-9237438.779999996,***消防工程有限公司,1,0
E17,2018Q3,16249141.029999997,852,26,187,18592139.63,46,1,22,2342998.6000000015,***消防工程有限公司,1,0
E17,2018Q4,13726779.659999995,640,3,166,16470354.33,48,0,32,2743574.6700000055,***消防工程有限公司,1,0
E17,2019Q1,16873919.38999999,945,9,189,20645998.330000002,57,1,38,3772078.9400000125,***消防工程有限公司,1,0
E17,2019Q2,14592081.469999993,899,16,192,16922456.52,54,1,23,2330375.0500000063,***消防工程有限公司,1,0
E17,2019Q3,19034991.66000002,1051,14,231,29094393.609999996,78,0,39,10059401.949999977,***消防工程有限公司,1,0
E17,2019Q4,6452939.300000001,309,1,90,5490286.409999999,15,0,10,-962652.8900000015,***消防工程有限公司,1,0
E18,2016Q4,2402891.51,67,0,8,3088394.96,7,0,4,685503.4500000002,***消防工程有限责任公司,1,0
E18,2017Q1,2583690.8,62,0,15,10846283.639999999,29,1,17,8262592.839999999,***消防工程有限责任公司,1,0
E18,2017Q2,2272291.03,82,0,15,10576774.05,27,1,14,8304483.020000001,***消防工程有限责任公司,1,0
E18,2017Q3,5011722.13,163,0,65,20525588.93,39,0,14,15513866.8,***消防工程有限责任公司,1,0
E18,2017Q4,22148239.529999997,401,1,91,17446265.6,34,0,13,-4701973.929999996,***消防工程有限责任公司,1,0
E18,2018Q1,10740097.660000004,423,1,139,17753475.490000002,31,0,11,7013377.829999998,***消防工程有限责任公司,1,0
E18,2018Q2,9182759.79999999,457,0,102,12575582.809999999,22,0,7,3392823.010000009,***消防工程有限责任公司,1,0
E18,2018Q3,14426816.14,846,0,99,14178711.620000003,26,0,9,-248104.5199999977,***消防工程有限责任公司,1,0
E18,2018Q4,9381232.690000001,370,0,93,12260239.399999999,23,0,7,2879006.709999997,***消防工程有限责任公司,1,0
E18,2019Q1,18242379.680000003,431,7,133,32322950.04,43,0,10,14080570.359999996,***消防工程有限责任公司,1,0
E18,2019Q2,11198229.450000001,569,6,124,20184718.919999998,26,0,3,8986489.469999997,***消防工程有限责任公司,1,0
E18,2019Q3,13229343.610000005,587,1,128,14029738.799999999,18,0,5,800395.1899999939,***消防工程有限责任公司,1,0
E18,2019Q4,16933143.179999996,997,15,148,11867666.51,20,0,9,-5065476.669999996,***消防工程有限责任公司,1,0
E19,2016Q4,9780559.209999999,70,0,18,11597168.39,174,4,70,1816609.1800000016,***科技有限公司,1,0
E19,2017Q1,11337770.120000001,44,0,10,10485097.709999999,138,0,56,-852672.410000002,***科技有限公司,1,0
